Count,Latitude,Longitude
1,43.635588,51.168245
1,51.128201,71.430429
4,43.237163,76.945654
1,50.998047,95.171761
1,55.740771,37.277821
2,52.984398,49.433212
1,62.096978,126.699753
1,56.909583,60.816457
1,50.257456,127.534611
1,54.718203,20.608799
1,55.557037,37.708760
5,43.115542,131.885494
5,56.129057,40.406635
2,51.660781,39.200296
2,55.933302,37.514230
1,48.015884,37.802850
1,56.838011,60.597474
1,55.914660,36.859017
10,54.710162,20.510137
5,54.513678,36.261341
1,56.348921,40.995597
2,42.890853,47.635665
1,53.464057,51.519325
1,50.550055,137.008685
7,55.918953,37.815211
3,48.299283,39.734327
1,56.010569,92.852572
2,52.756185,55.796698
4,51.730846,36.193015
9,48.573896,39.307708
1,43.166787,44.803574
1,53.902735,27.555696
2,62.761555,40.326613
29,55.755864,37.617698
2,55.484847,37.305569
1,44.638287,41.936061
1,56.326797,44.006516
11,55.030204,82.920430
3,55.117082,36.597014
4,52.970756,36.064358
8,58.010455,56.229443
1,56.011318,37.847164
11,53.195878,50.100202
17,59.938784,30.314997
1,51.533562,46.034266
2,44.948237,34.100327
1,45.260332,38.128220
2,45.260332,38.128220
3,56.859561,35.911851
1,56.484645,84.947649
1,54.193122,37.617348
8,54.735152,55.958736
2,55.889361,37.444853
3,56.139918,47.247728
4,55.159902,61.402554
1,54.630706,21.819503
2,56.854404,41.384622
3,62.027221,129.732178
1,57.626559,39.893813



